DATE,TIME,PM25,TEMP,RH
2024-01-01,00:00:00,24.0,24.0,96.0
2024-01-01,01:00:00,30.6,23.0,99.0
2024-01-01,02:00:00,22.2,23.0,99.0
2024-01-01,03:00:00,23.7,23.0,99.0
2024-01-01,04:00:00,22.5,22.0,99.0
2024-01-01,05:00:00,17.8,22.0,99.0
2024-01-01,06:00:00,16.7,22.0,99.0
2024-01-01,07:00:00,13.5,23.0,97.0
2024-01-01,08:00:00,15.3,27.0,83.0
2024-01-01,09:00:00,14.8,30.0,68.0
2024-01-01,10:00:00,15.4,31.0,61.0
2024-01-01,11:00:00,18.8,32.0,53.0
2024-01-01,12:00:00,21.0,33.0,50.0
2024-01-01,13:00:00,11.9,35.0,45.0
2024-01-01,14:00:00,14.2,34.0,46.0
2024-01-01,15:00:00,19.1,32.0,52.0
2024-01-01,16:00:00,16.2,31.0,56.0
2024-01-01,17:00:00,20.8,29.0,63.0
2024-01-01,18:00:00,18.4,27.0,72.0
2024-01-01,19:00:00,18.6,27.0,78.0
2024-01-01,20:00:00,21.5,26.0,80.0
2024-01-01,21:00:00,17.5,26.0,82.0
2024-01-01,22:00:00,20.8,25.0,86.0
2024-01-01,23:00:00,19.9,24.0,90.0
2024-01-02,00:00:00,15.5,24.0,94.0
2024-01-02,01:00:00,19.1,24.0,98.0
2024-01-02,02:00:00,21.0,24.0,98.0
2024-01-02,03:00:00,23.3,24.0,97.0
2024-01-02,04:00:00,28.4,23.0,99.0
2024-01-02,05:00:00,24.8,23.0,99.0
2024-01-02,06:00:00,15.6,23.0,99.0
2024-01-02,07:00:00,18.6,24.0,98.0
2024-01-02,08:00:00,15.2,27.0,86.0
2024-01-02,09:00:00,19.1,30.0,71.0
2024-01-02,10:00:00,13.8,31.0,63.0
2024-01-02,11:00:00,13.0,33.0,52.0
2024-01-02,12:00:00,19.8,33.0,49.0
2024-01-02,13:00:00,17.0,34.0,48.0
2024-01-02,14:00:00,20.8,33.0,50.0
2024-01-02,15:00:00,17.2,32.0,51.0
2024-01-02,16:00:00,21.3,31.0,55.0
2024-01-02,17:00:00,14.1,29.0,59.0
2024-01-02,18:00:00,17.9,28.0,68.0
2024-01-02,19:00:00,14.3,27.0,76.0
2024-01-02,20:00:00,16.4,26.0,80.0
2024-01-02,21:00:00,20.1,25.0,82.0
2024-01-02,22:00:00,15.5,25.0,84.0
2024-01-02,23:00:00,20.0,25.0,87.0
2024-01-03,00:00:00,21.0,24.0,91.0
2024-01-03,01:00:00,14.1,24.0,91.0
2024-01-03,02:00:00,15.4,23.0,95.0
2024-01-03,03:00:00,17.4,23.0,98.0
2024-01-03,04:00:00,16.0,22.0,99.0
2024-01-03,05:00:00,17.6,23.0,99.0
2024-01-03,06:00:00,20.6,23.0,99.0
2024-01-03,07:00:00,20.9,23.0,98.0
2024-01-03,08:00:00,22.4,27.0,82.0
2024-01-03,09:00:00,20.0,29.0,73.0
2024-01-03,10:00:00,18.9,31.0,63.0
2024-01-03,11:00:00,16.3,32.0,54.0
2024-01-03,12:00:00,19.3,32.0,53.0
2024-01-03,13:00:00,17.5,32.0,52.0
2024-01-03,14:00:00,14.8,33.0,50.0
2024-01-03,15:00:00,15.2,32.0,52.0
2024-01-03,16:00:00,20.0,31.0,54.0
2024-01-03,17:00:00,19.4,30.0,61.0
2024-01-03,18:00:00,21.3,28.0,67.0
2024-01-03,19:00:00,23.0,27.0,69.0
