DATE,TIME,PM25,TEMP,RH
2024-01-01,00:00:00,31.5,27.0,95.0
2024-01-01,01:00:00,35.5,27.0,96.0
2024-01-01,02:00:00,28.3,27.0,93.0
2024-01-01,03:00:00,22.2,27.0,92.0
2024-01-01,04:00:00,27.4,26.0,93.0
2024-01-01,05:00:00,25.7,26.0,95.0
2024-01-01,06:00:00,25.3,26.0,92.0
2024-01-01,07:00:00,22.4,27.0,88.0
2024-01-01,08:00:00,23.1,29.0,74.0
2024-01-01,09:00:00,21.9,31.0,67.0
2024-01-01,10:00:00,17.4,31.0,63.0
2024-01-01,11:00:00,22.3,32.0,61.0
2024-01-01,12:00:00,21.5,33.0,59.0
2024-01-01,13:00:00,18.1,34.0,56.0
2024-01-01,14:00:00,20.2,35.0,53.0
2024-01-01,15:00:00,18.6,35.0,52.0
2024-01-01,16:00:00,20.5,34.0,53.0
2024-01-01,17:00:00,21.6,32.0,60.0
2024-01-01,18:00:00,22.5,31.0,69.0
2024-01-01,19:00:00,19.3,30.0,75.0
2024-01-01,20:00:00,20.2,29.0,75.0
2024-01-01,21:00:00,25.7,29.0,78.0
2024-01-01,22:00:00,28.5,28.0,80.0
2024-01-01,23:00:00,26.7,28.0,79.0
2024-01-02,00:00:00,20.8,28.0,74.0
2024-01-02,01:00:00,19.4,28.0,77.0
2024-01-02,02:00:00,19.0,27.0,80.0
2024-01-02,03:00:00,17.3,27.0,80.0
2024-01-02,04:00:00,20.6,27.0,82.0
2024-01-02,05:00:00,19.6,27.0,85.0
2024-01-02,06:00:00,21.8,26.0,86.0
2024-01-02,07:00:00,21.2,27.0,81.0
2024-01-02,08:00:00,20.9,29.0,72.0
2024-01-02,09:00:00,18.4,31.0,64.0
2024-01-02,10:00:00,20.0,32.0,59.0
2024-01-02,11:00:00,15.7,33.0,56.0
2024-01-02,12:00:00,18.0,34.0,55.0
2024-01-02,13:00:00,15.6,34.0,53.0
2024-01-02,14:00:00,20.1,35.0,49.0
2024-01-02,15:00:00,19.6,35.0,49.0
2024-01-02,16:00:00,21.8,35.0,49.0
2024-01-02,17:00:00,20.6,33.0,53.0
2024-01-02,18:00:00,23.9,32.0,58.0
2024-01-02,19:00:00,23.9,31.0,64.0
2024-01-02,20:00:00,21.3,30.0,66.0
2024-01-02,21:00:00,20.9,30.0,68.0
2024-01-02,22:00:00,18.7,30.0,65.0
2024-01-02,23:00:00,17.6,29.0,68.0
2024-01-03,00:00:00,21.3,28.0,73.0
2024-01-03,01:00:00,20.3,28.0,72.0
2024-01-03,02:00:00,19.1,28.0,74.0
2024-01-03,03:00:00,18.9,28.0,80.0
2024-01-03,04:00:00,22.3,27.0,85.0
2024-01-03,05:00:00,18.7,27.0,86.0
2024-01-03,06:00:00,21.1,27.0,87.0
