DATE,TIME,PM25,TEMP,RH
2024-01-01,00:00:00,15.9,23,76
2024-01-01,01:00:00,18.8,23,78
2024-01-01,02:00:00,15.5,23,78
2024-01-01,03:00:00,13.1,22,82
2024-01-01,04:00:00,12.1,22,80
2024-01-01,05:00:00,13.2,22,82
2024-01-01,06:00:00,14.2,22,83
2024-01-01,07:00:00,16.6,24,74
2024-01-01,08:00:00,19.3,26,65
2024-01-01,09:00:00,22.6,27,58
2024-01-01,10:00:00,24.5,28,57
2024-01-01,11:00:00,22.8,29,53
2024-01-01,12:00:00,19.6,29,52
2024-01-01,13:00:00,18.9,30,48
2024-01-01,14:00:00,20.4,30,47
2024-01-01,15:00:00,24.4,30,47
2024-01-01,16:00:00,25.1,30,48
2024-01-01,17:00:00,25.1,28,51
2024-01-01,18:00:00,26.7,26,57
2024-01-01,19:00:00,21.1,25,65
2024-01-01,20:00:00,16.5,24,68
2024-01-01,21:00:00,14.6,24,68
2024-01-01,22:00:00,16.1,24,69
2024-01-01,23:00:00,17.0,24,73
2024-01-02,00:00:00,15.8,23,76
2024-01-02,01:00:00,9.9,23,77
2024-01-02,02:00:00,7.9,22,81
2024-01-02,03:00:00,8.5,22,84
2024-01-02,04:00:00,8.3,23,80
2024-01-02,05:00:00,10.5,21,89
2024-01-02,06:00:00,19.9,21,88
2024-01-02,07:00:00,19.9,24,74
2024-01-02,08:00:00,18.7,26,64
2024-01-02,09:00:00,19.8,28,57
2024-01-02,10:00:00,21.1,28,54
2024-01-02,11:00:00,16.9,30,49
2024-01-02,12:00:00,17.4,30,46
2024-01-02,13:00:00,18.7,31,44
2024-01-02,14:00:00,16.9,31,43
2024-01-02,15:00:00,22.0,31,44
2024-01-02,16:00:00,25.9,30,48
2024-01-02,17:00:00,24.5,29,51
2024-01-02,18:00:00,24.8,26,59
2024-01-02,19:00:00,18.3,25,64
2024-01-02,20:00:00,14.5,24,65
2024-01-02,21:00:00,11.7,24,68
2024-01-02,22:00:00,12.9,24,67
2024-01-02,23:00:00,11.3,24,67
2024-01-03,00:00:00,11.4,23,69
2024-01-03,01:00:00,12.3,23,70
2024-01-03,02:00:00,9.4,23,75
2024-01-03,03:00:00,8.3,21,84
2024-01-03,04:00:00,9.8,21,90
2024-01-03,05:00:00,11.9,21,90
2024-01-03,06:00:00,13.4,22,81
2024-01-03,07:00:00,16.6,24,73
2024-01-03,08:00:00,17.3,27,62
2024-01-03,09:00:00,19.6,28,56
2024-01-03,10:00:00,21.2,29,53
2024-01-03,11:00:00,19.0,29,52
2024-01-03,12:00:00,15.6,30,48
2024-01-03,13:00:00,19.5,31,45
2024-01-03,14:00:00,17.9,31,45
2024-01-03,15:00:00,21.1,31,46
2024-01-03,16:00:00,20.9,30,50
2024-01-03,17:00:00,25.2,28,55
2024-01-03,18:00:00,27.0,26,62
2024-01-03,19:00:00,24.7,25,67
2024-01-03,20:00:00,24.6,24,71
2024-01-03,21:00:00,26.6,24,72
2024-01-03,22:00:00,25.2,24,70
2024-01-03,23:00:00,23.7,23,73
2024-01-04,00:00:00,21.4,23,76
2024-01-04,01:00:00,20.5,23,78
2024-01-04,02:00:00,19.0,22,80
2024-01-04,03:00:00,14.0,22,80
2024-01-04,04:00:00,13.5,23,78
2024-01-04,05:00:00,12.6,22,80
2024-01-04,06:00:00,18.5,22,81
2024-01-04,07:00:00,22.3,24,76
2024-01-04,08:00:00,20.1,26,66
2024-01-04,09:00:00,21.2,28,59
2024-01-04,10:00:00,18.2,28,55
2024-01-04,11:00:00,19.2,29,53
2024-01-04,12:00:00,21.1,29,52
2024-01-04,13:00:00,22.5,30,48
2024-01-04,14:00:00,20.8,31,45
2024-01-04,15:00:00,23.1,31,44
2024-01-04,16:00:00,21.3,29,50
2024-01-04,17:00:00,30.6,28,55
2024-01-04,18:00:00,29.4,26,61
2024-01-04,19:00:00,26.3,25,65
2024-01-04,20:00:00,26.5,25,67
2024-01-04,21:00:00,25.8,25,68
2024-01-04,22:00:00,28.1,24,70
