,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2024-01-01 00:00:00,11.9,21.0,,,,,0,22,93,121
1,2024-01-01 01:00:00,12.8,23.0,,,,,0,21,94,177
2,2024-01-01 02:00:00,11.9,21.0,,,,,0,21,95,242
3,2024-01-01 03:00:00,10.4,20.0,,,,,0,21,96,197
4,2024-01-01 04:00:00,12.8,28.0,,,,,0,20,96,128
5,2024-01-01 05:00:00,12.7,28.0,,,,,0,20,96,187
6,2024-01-01 06:00:00,10.2,24.0,,,,,0,20,97,125
7,2024-01-01 07:00:00,10.6,25.0,,,,,1,21,96,152
8,2024-01-01 08:00:00,12.2,29.0,,,,,1,24,85,94
9,2024-01-01 09:00:00,10.8,26.0,,,,,1,28,69,117
10,2024-01-01 10:00:00,9.6,23.0,,,,,1,29,62,100
11,2024-01-01 11:00:00,11.4,27.0,,,,,2,30,59,98
12,2024-01-01 12:00:00,11.9,28.0,,,,,1,33,51,118
13,2024-01-01 13:00:00,13.2,31.0,,,,,1,32,53,86
14,2024-01-01 14:00:00,11.5,28.0,,,,,1,32,53,98
15,2024-01-01 15:00:00,10.0,24.0,,,,,1,34,48,110
16,2024-01-01 16:00:00,9.4,22.0,,,,,1,33,49,88
17,2024-01-01 17:00:00,9.4,20.0,,,,,1,30,58,92
18,2024-01-01 18:00:00,7.8,19.0,,,,,1,28,66,96
19,2024-01-01 19:00:00,7.4,18.0,,,,,0,26,75,168
20,2024-01-01 20:00:00,9.6,19.0,,,,,0,25,80,187
21,2024-01-01 21:00:00,7.2,17.0,,,,,0,24,84,220
22,2024-01-01 22:00:00,7.3,18.0,,,,,0,23,88,183
23,2024-01-01 23:00:00,11.3,22.0,,,,,0,23,90,150
24,2024-01-02 00:00:00,9.2,19.0,,,,,0,22,91,164
25,2024-01-02 01:00:00,9.4,20.0,,,,,0,22,93,136
26,2024-01-02 02:00:00,8.5,18.0,,,,,1,21,94,145
27,2024-01-02 03:00:00,10.4,21.0,,,,,0,21,95,198
28,2024-01-02 04:00:00,12.4,22.0,,,,,0,21,95,155
29,2024-01-02 05:00:00,11.3,21.0,,,,,0,21,95,162
30,2024-01-02 06:00:00,11.4,21.0,,,,,0,21,96,118
31,2024-01-02 07:00:00,9.4,18.0,,,,,0,22,96,126
32,2024-01-02 08:00:00,8.8,19.0,,,,,1,24,91,126
33,2024-01-02 09:00:00,9.3,22.0,,,,,1,27,76,132
34,2024-01-02 10:00:00,11.4,27.0,,,,,1,29,63,110
35,2024-01-02 11:00:00,14.7,35.0,,,,,1,31,59,108
36,2024-01-02 12:00:00,14.4,35.0,,,,,1,32,56,97
37,2024-01-02 13:00:00,12.6,30.0,,,,,2,32,58,81
38,2024-01-02 14:00:00,10.8,26.0,,,,,2,32,54,81
39,2024-01-02 15:00:00,9.4,23.0,,,,,2,33,51,105
40,2024-01-02 16:00:00,10.6,21.0,,,,,2,31,58,100
41,2024-01-02 17:00:00,8.9,19.0,,,,,2,29,64,83
42,2024-01-02 18:00:00,7.5,18.0,,,,,1,28,70,71
43,2024-01-02 19:00:00,7.2,17.0,,,,,1,27,73,83
44,2024-01-02 20:00:00,9.6,18.0,,,,,1,26,76,68
45,2024-01-02 21:00:00,9.8,19.0,,,,,1,25,79,60
46,2024-01-02 22:00:00,7.8,19.0,,,,,1,25,81,95
47,2024-01-02 23:00:00,8.8,19.0,,,,,0,24,86,142
48,2024-01-03 00:00:00,10.5,20.0,,,,,0,23,91,171
49,2024-01-03 01:00:00,10.4,20.0,,,,,0,22,93,163
50,2024-01-03 02:00:00,9.1,19.0,,,,,1,22,93,174
51,2024-01-03 03:00:00,9.9,19.0,,,,,0,21,94,220
52,2024-01-03 04:00:00,8.7,18.0,,,,,0,21,94,173
53,2024-01-03 05:00:00,8.4,18.0,,,,,0,21,95,160
54,2024-01-03 06:00:00,10.2,20.0,,,,,0,20,96,131
55,2024-01-03 07:00:00,8.4,15.0,,,,,0,21,95,184
56,2024-01-03 08:00:00,7.7,17.0,,,,,1,24,86,115
57,2024-01-03 09:00:00,7.1,17.0,,,,,1,27,75,117
58,2024-01-03 10:00:00,6.8,16.0,,,,,1,29,64,112
59,2024-01-03 11:00:00,11.3,27.0,,,,,2,31,58,116
60,2024-01-03 12:00:00,11.8,28.0,,,,,1,32,56,101
61,2024-01-03 13:00:00,10.4,25.0,,,,,1,34,49,125
62,2024-01-03 14:00:00,9.4,23.0,,,,,2,32,54,77
63,2024-01-03 15:00:00,8.4,20.0,,,,,2,31,55,80
64,2024-01-03 16:00:00,8.7,18.0,,,,,1,31,57,80
65,2024-01-03 17:00:00,7.2,17.0,,,,,1,29,64,69
66,2024-01-03 18:00:00,7.9,17.0,,,,,1,27,70,113
67,2024-01-03 19:00:00,9.6,18.0,,,,,1,26,77,169
68,2024-01-03 20:00:00,8.6,16.0,,,,,1,25,82,154
69,2024-01-03 21:00:00,9.9,18.0,,,,,1,24,86,178
70,2024-01-03 22:00:00,10.8,20.0,,,,,0,23,90,162
71,2024-01-03 23:00:00,8.7,17.0,,,,,1,23,93,149
72,2024-01-04 00:00:00,7.9,17.0,,,,,1,22,93,183
73,2024-01-04 01:00:00,10.3,20.0,,,,,1,22,95,174
74,2024-01-04 02:00:00,9.7,18.0,,,,,1,22,95,120
75,2024-01-04 03:00:00,8.1,17.0,,,,,1,22,94,175
76,2024-01-04 04:00:00,8.8,18.0,,,,,1,21,95,202
77,2024-01-04 05:00:00,7.6,16.0,,,,,0,21,95,173
78,2024-01-04 06:00:00,7.5,16.0,,,,,0,21,95,174
79,2024-01-04 07:00:00,8.7,17.0,,,,,1,22,93,144
80,2024-01-04 08:00:00,10.9,26.0,,,,,1,25,83,89
81,2024-01-04 09:00:00,10.6,25.0,,,,,1,28,69,96
82,2024-01-04 10:00:00,10.6,25.0,,,,,1,29,61,112
83,2024-01-04 11:00:00,14.3,34.0,,,,,2,31,54,105
84,2024-01-04 12:00:00,12.4,30.0,,,,,1,33,48,126
85,2024-01-04 13:00:00,13.4,32.0,,,,,1,33,48,107
86,2024-01-04 14:00:00,11.8,28.0,,,,,1,32,52,91
87,2024-01-04 15:00:00,10.3,25.0,,,,,1,32,53,97
88,2024-01-04 16:00:00,9.2,22.0,,,,,1,32,53,107
89,2024-01-04 17:00:00,8.6,20.0,,,,,2,30,58,78
90,2024-01-04 18:00:00,8.0,19.0,,,,,1,27,65,83
