,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2024-01-01 00:00:00,24.0,,4.0,,,,0,24,96,127
1,2024-01-01 01:00:00,30.6,,4.0,,,,0,23,99,44
2,2024-01-01 02:00:00,22.2,,2.0,,,,0,23,99,356
3,2024-01-01 03:00:00,23.7,,3.0,,,,0,23,99,347
4,2024-01-01 04:00:00,22.5,,3.0,,,,0,22,99,356
5,2024-01-01 05:00:00,17.8,,3.0,,,,0,22,99,23
6,2024-01-01 06:00:00,16.7,,3.0,,,,0,22,99,310
7,2024-01-01 07:00:00,13.5,,5.0,,,,0,23,97,78
8,2024-01-01 08:00:00,15.3,,10.0,,,,1,27,83,82
9,2024-01-01 09:00:00,14.8,,14.0,,,,1,30,68,91
10,2024-01-01 10:00:00,15.4,,16.0,,,,2,31,61,111
11,2024-01-01 11:00:00,18.8,,17.0,,,,1,32,53,89
12,2024-01-01 12:00:00,21.0,,17.0,,,,2,33,50,69
13,2024-01-01 13:00:00,11.9,,18.0,,,,1,35,45,85
14,2024-01-01 14:00:00,14.2,,17.0,,,,2,34,46,60
15,2024-01-01 15:00:00,19.1,,,,,,2,32,52,54
16,2024-01-01 16:00:00,16.2,,14.0,,,,2,31,56,59
17,2024-01-01 17:00:00,20.8,,13.0,,,,2,29,63,55
18,2024-01-01 18:00:00,18.4,,12.0,,,,2,27,72,52
19,2024-01-01 19:00:00,18.6,,11.0,,,,1,27,78,53
20,2024-01-01 20:00:00,21.5,,9.0,,,,1,26,80,62
21,2024-01-01 21:00:00,17.5,,9.0,,,,0,26,82,39
22,2024-01-01 22:00:00,20.8,,8.0,,,,0,25,86,27
23,2024-01-01 23:00:00,19.9,,7.0,,,,0,24,90,216
24,2024-01-02 00:00:00,15.5,,5.0,,,,0,24,94,272
25,2024-01-02 01:00:00,19.1,,3.0,,,,0,24,98,105
26,2024-01-02 02:00:00,21.0,,3.0,,,,0,24,98,289
27,2024-01-02 03:00:00,23.3,,5.0,,,,0,24,97,21
28,2024-01-02 04:00:00,28.4,,4.0,,,,0,23,99,116
29,2024-01-02 05:00:00,24.8,,2.0,,,,0,23,99,56
30,2024-01-02 06:00:00,15.6,,2.0,,,,0,23,99,50
31,2024-01-02 07:00:00,18.6,,3.0,,,,0,24,98,97
32,2024-01-02 08:00:00,15.2,,7.0,,,,1,27,86,89
33,2024-01-02 09:00:00,19.1,,11.0,,,,1,30,71,85
34,2024-01-02 10:00:00,13.8,,13.0,,,,1,31,63,58
35,2024-01-02 11:00:00,13.0,,18.0,,,,2,33,52,62
36,2024-01-02 12:00:00,19.8,,21.0,,,,2,33,49,58
37,2024-01-02 13:00:00,17.0,,22.0,,,,2,34,48,57
38,2024-01-02 14:00:00,20.8,,,,,,2,33,50,60
39,2024-01-02 15:00:00,17.2,,15.0,,,,2,32,51,58
40,2024-01-02 16:00:00,21.3,,15.0,,,,2,31,55,56
