,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2024-01-01 00:00:00,25.4,,,,,,0,26,91,204
1,2024-01-01 01:00:00,27.4,,,,,,0,25,92,204
2,2024-01-01 02:00:00,9.7,,,,,,0,24,92,199
3,2024-01-01 03:00:00,7.9,,,,,,0,24,92,196
4,2024-01-01 04:00:00,11.2,,,,,,0,24,93,192
5,2024-01-01 05:00:00,12.8,,,,,,0,24,93,210
6,2024-01-01 06:00:00,12.4,,,,,,0,24,94,194
7,2024-01-01 07:00:00,12.2,,,,,,0,25,89,186
8,2024-01-01 08:00:00,10.3,,,,,,1,28,78,170
9,2024-01-01 09:00:00,18.3,,,,,,1,29,72,143
10,2024-01-01 10:00:00,14.4,,,,,,1,31,65,136
11,2024-01-01 11:00:00,15.3,,,,,,2,32,62,136
12,2024-01-01 12:00:00,15.6,,,,,,1,32,64,115
13,2024-01-01 13:00:00,16.7,,,,,,1,30,71,72
14,2024-01-01 14:00:00,15.7,,,,,,1,30,71,77
15,2024-01-01 15:00:00,22.2,,,,,,1,30,71,115
16,2024-01-01 16:00:00,22.8,,,,,,1,30,72,125
17,2024-01-01 17:00:00,25.5,,,,,,1,29,75,126
18,2024-01-01 18:00:00,22.3,,,,,,0,28,79,133
19,2024-01-01 19:00:00,20.8,,,,,,0,28,81,131
20,2024-01-01 20:00:00,25.1,,,,,,0,27,82,134
21,2024-01-01 21:00:00,37.3,,,,,,0,27,84,146
22,2024-01-01 22:00:00,36.3,,,,,,0,26,87,204
23,2024-01-01 23:00:00,17.3,,,,,,0,26,87,181
24,2024-01-02 00:00:00,14.5,,,,,,0,26,90,198
25,2024-01-02 01:00:00,17.1,,,,,,0,26,90,207
26,2024-01-02 02:00:00,11.4,,,,,,0,25,92,204
27,2024-01-02 03:00:00,8.2,,,,,,0,25,93,201
28,2024-01-02 04:00:00,10.3,,,,,,0,25,92,215
29,2024-01-02 05:00:00,13.0,,,,,,0,25,93,205
30,2024-01-02 06:00:00,13.4,,,,,,0,24,95,230
31,2024-01-02 07:00:00,13.9,,,,,,0,25,93,201
32,2024-01-02 08:00:00,12.7,,,,,,0,27,85,199
33,2024-01-02 09:00:00,11.7,,,,,,0,30,73,87
34,2024-01-02 10:00:00,13.5,,,,,,1,30,71,66
35,2024-01-02 11:00:00,11.1,,,,,,1,30,70,70
36,2024-01-02 12:00:00,12.4,,,,,,1,30,70,62
37,2024-01-02 13:00:00,11.0,,,,,,1,30,69,67
38,2024-01-02 14:00:00,14.1,,,,,,1,30,68,80
39,2024-01-02 15:00:00,16.0,,,,,,1,30,70,87
40,2024-01-02 16:00:00,19.5,,,,,,1,29,73,72
41,2024-01-02 17:00:00,19.7,,,,,,1,28,77,64
42,2024-01-02 18:00:00,14.5,,,,,,0,28,79,106
43,2024-01-02 19:00:00,26.6,,,,,,0,28,79,132
44,2024-01-02 20:00:00,26.7,,,,,,0,27,78,139
45,2024-01-02 21:00:00,17.7,,,,,,0,27,81,170
46,2024-01-02 22:00:00,24.6,,,,,,0,27,84,165
47,2024-01-02 23:00:00,23.7,,,,,,0,26,87,171
48,2024-01-03 00:00:00,23.2,,,,,,0,26,91,196
49,2024-01-03 01:00:00,19.7,,,,,,0,25,91,212
50,2024-01-03 02:00:00,14.4,,,,,,0,25,91,209
51,2024-01-03 03:00:00,11.3,,,,,,0,24,92,213
52,2024-01-03 04:00:00,16.9,,,,,,0,24,93,204
53,2024-01-03 05:00:00,16.1,,,,,,0,24,93,203
54,2024-01-03 06:00:00,11.7,,,,,,0,24,93,185
55,2024-01-03 07:00:00,15.2,,,,,,0,26,87,201
56,2024-01-03 08:00:00,16.7,,,,,,1,28,79,164
57,2024-01-03 09:00:00,17.2,,,,,,1,30,70,141
58,2024-01-03 10:00:00,18.0,,,,,,1,31,63,91
59,2024-01-03 11:00:00,14.6,,,,,,1,30,70,74
60,2024-01-03 12:00:00,13.0,,,,,,1,30,71,65
61,2024-01-03 13:00:00,13.8,,,,,,1,30,69,64
62,2024-01-03 14:00:00,17.6,,,,,,1,30,69,67
63,2024-01-03 15:00:00,15.7,,,,,,1,30,69,81
64,2024-01-03 16:00:00,23.2,,,,,,1,30,68,122
65,2024-01-03 17:00:00,25.7,,,,,,1,29,73,120
66,2024-01-03 18:00:00,19.2,,,,,,1,28,75,131
