,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2024-01-01 00:00:00,31.5,,,0.63,10.0,,121,27,95,8
1,2024-01-01 01:00:00,35.5,,,0.61,11.0,,121,27,96,8
2,2024-01-01 02:00:00,28.3,,,,,,121,27,93,8
3,2024-01-01 03:00:00,22.2,,,0.44,3.0,,121,27,92,8
4,2024-01-01 04:00:00,27.4,,,0.43,1.0,,121,26,93,8
5,2024-01-01 05:00:00,25.7,,,0.46,3.0,,121,26,95,7
6,2024-01-01 06:00:00,25.3,,,0.48,4.0,,121,26,92,7
7,2024-01-01 07:00:00,22.4,,,0.5,7.0,,121,27,88,8
8,2024-01-01 08:00:00,23.1,,,0.37,3.0,,121,29,74,8
9,2024-01-01 09:00:00,21.9,,,0.38,2.0,,121,31,67,8
10,2024-01-01 10:00:00,17.4,,,0.38,2.0,,121,31,63,8
11,2024-01-01 11:00:00,22.3,,,0.39,3.0,,121,32,61,8
12,2024-01-01 12:00:00,21.5,,,0.39,2.0,,121,33,59,9
13,2024-01-01 13:00:00,18.1,,,0.44,4.0,,121,34,56,9
14,2024-01-01 14:00:00,20.2,,,0.42,4.0,,121,35,53,9
15,2024-01-01 15:00:00,18.6,,,0.36,2.0,,121,35,52,9
16,2024-01-01 16:00:00,20.5,,,0.39,2.0,,121,34,53,9
17,2024-01-01 17:00:00,21.6,,,0.48,6.0,,121,32,60,8
18,2024-01-01 18:00:00,22.5,,,0.51,12.0,,121,31,69,8
19,2024-01-01 19:00:00,19.3,,,0.53,11.0,,121,30,75,8
20,2024-01-01 20:00:00,20.2,,,0.6,16.0,,121,29,75,8
21,2024-01-01 21:00:00,25.7,,,0.6,17.0,,121,29,78,8
22,2024-01-01 22:00:00,28.5,,,0.49,9.0,,121,28,80,7
23,2024-01-01 23:00:00,26.7,,,0.39,3.0,,121,28,79,7
24,2024-01-02 00:00:00,20.8,,,0.33,3.0,,121,28,74,7
25,2024-01-02 01:00:00,19.4,,,0.27,0.0,,121,28,77,7
26,2024-01-02 02:00:00,19.0,,,0.26,0.0,,121,27,80,7
27,2024-01-02 03:00:00,17.3,,,,,,121,27,80,7
28,2024-01-02 04:00:00,20.6,,,0.35,0.0,,121,27,82,7
29,2024-01-02 05:00:00,19.6,,,0.34,0.0,,121,27,85,7
30,2024-01-02 06:00:00,21.8,,,0.32,1.0,,121,26,86,7
31,2024-01-02 07:00:00,21.2,,,0.45,6.0,,121,27,81,7
32,2024-01-02 08:00:00,20.9,,,0.37,3.0,,121,29,72,8
33,2024-01-02 09:00:00,18.4,,,0.41,2.0,,121,31,64,8
34,2024-01-02 10:00:00,20.0,,,0.41,2.0,,121,32,59,8
35,2024-01-02 11:00:00,15.7,,,0.43,4.0,,121,33,56,8
36,2024-01-02 12:00:00,18.0,,,0.41,4.0,,121,34,55,8
37,2024-01-02 13:00:00,15.6,,,0.4,4.0,,121,34,53,8
38,2024-01-02 14:00:00,20.1,,,0.42,4.0,,121,35,49,9
39,2024-01-02 15:00:00,19.6,,,0.37,3.0,,121,35,49,9
40,2024-01-02 16:00:00,21.8,,,0.4,6.0,,121,35,49,9
41,2024-01-02 17:00:00,20.6,,,0.44,6.0,,121,33,53,8
42,2024-01-02 18:00:00,23.9,,,0.46,10.0,,121,32,58,8
43,2024-01-02 19:00:00,23.9,,,0.52,14.0,,121,31,64,8
