,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2024-01-01 00:00:00,15.9,,,,,,1,23,76,39
1,2024-01-01 01:00:00,18.8,,,,,,1,23,78,38
2,2024-01-01 02:00:00,15.5,,,,,,1,23,78,74
3,2024-01-01 03:00:00,13.1,,,,,,0,22,82,337
4,2024-01-01 04:00:00,12.1,,,,,,1,22,80,72
5,2024-01-01 05:00:00,13.2,,,,,,0,22,82,344
6,2024-01-01 06:00:00,14.2,,,,,,0,22,83,336
7,2024-01-01 07:00:00,16.6,,,,,,1,24,74,355
8,2024-01-01 08:00:00,19.3,,,,,,1,26,65,37
9,2024-01-01 09:00:00,22.6,,,,,,1,27,58,60
10,2024-01-01 10:00:00,24.5,,,,,,2,28,57,66
11,2024-01-01 11:00:00,22.8,,,,,,2,29,53,60
12,2024-01-01 12:00:00,19.6,,,,,,2,29,52,73
13,2024-01-01 13:00:00,18.9,,,,,,2,30,48,67
14,2024-01-01 14:00:00,20.4,,,,,,2,30,47,63
15,2024-01-01 15:00:00,24.4,,,,,,2,30,47,52
16,2024-01-01 16:00:00,25.1,,,,,,2,30,48,59
17,2024-01-01 17:00:00,25.1,,,,,,1,28,51,60
18,2024-01-01 18:00:00,26.7,,,,,,1,26,57,6
19,2024-01-01 19:00:00,21.1,,,,,,0,25,65,314
20,2024-01-01 20:00:00,16.5,,,,,,0,24,68,29
21,2024-01-01 21:00:00,14.6,,,,,,0,24,68,74
22,2024-01-01 22:00:00,16.1,,,,,,1,24,69,72
23,2024-01-01 23:00:00,17.0,,,,,,1,24,73,68
24,2024-01-02 00:00:00,15.8,,,,,,1,23,76,68
25,2024-01-02 01:00:00,9.9,,,,,,1,23,77,63
26,2024-01-02 02:00:00,7.9,,,,,,0,22,81,312
27,2024-01-02 03:00:00,8.5,,,,,,0,22,84,321
28,2024-01-02 04:00:00,8.3,,,,,,1,23,80,359
29,2024-01-02 05:00:00,10.5,,,,,,1,21,89,309
30,2024-01-02 06:00:00,19.9,,,,,,1,21,88,319
31,2024-01-02 07:00:00,19.9,,,,,,2,24,74,56
32,2024-01-02 08:00:00,18.7,,,,,,2,26,64,58
33,2024-01-02 09:00:00,19.8,,,,,,2,28,57,71
34,2024-01-02 10:00:00,21.1,,,,,,2,28,54,70
35,2024-01-02 11:00:00,16.9,,,,,,2,30,49,58
36,2024-01-02 12:00:00,17.4,,,,,,2,30,46,78
37,2024-01-02 13:00:00,18.7,,,,,,2,31,44,56
38,2024-01-02 14:00:00,16.9,,,,,,2,31,43,58
39,2024-01-02 15:00:00,22.0,,,,,,2,31,44,69
40,2024-01-02 16:00:00,25.9,,,,,,2,30,48,51
41,2024-01-02 17:00:00,24.5,,,,,,1,29,51,11
42,2024-01-02 18:00:00,24.8,,,,,,1,26,59,351
43,2024-01-02 19:00:00,18.3,,,,,,1,25,64,53
44,2024-01-02 20:00:00,14.5,,,,,,1,24,65,30
45,2024-01-02 21:00:00,11.7,,,,,,1,24,68,37
46,2024-01-02 22:00:00,12.9,,,,,,1,24,67,37
47,2024-01-02 23:00:00,11.3,,,,,,1,24,67,38
48,2024-01-03 00:00:00,11.4,,,,,,1,23,69,45
49,2024-01-03 01:00:00,12.3,,,,,,1,23,70,50
50,2024-01-03 02:00:00,9.4,,,,,,1,23,75,336
51,2024-01-03 03:00:00,8.3,,,,,,0,21,84,275
52,2024-01-03 04:00:00,9.8,,,,,,0,21,90,274
53,2024-01-03 05:00:00,11.9,,,,,,0,21,90,312
54,2024-01-03 06:00:00,13.4,,,,,,1,22,81,9
55,2024-01-03 07:00:00,16.6,,,,,,1,24,73,357
56,2024-01-03 08:00:00,17.3,,,,,,1,27,62,52
57,2024-01-03 09:00:00,19.6,,,,,,2,28,56,43
58,2024-01-03 10:00:00,21.2,,,,,,2,29,53,66
59,2024-01-03 11:00:00,19.0,,,,,,2,29,52,70
60,2024-01-03 12:00:00,15.6,,,,,,2,30,48,69
61,2024-01-03 13:00:00,19.5,,,,,,2,31,45,54
62,2024-01-03 14:00:00,17.9,,,,,,2,31,45,69
63,2024-01-03 15:00:00,21.1,,,,,,2,31,46,67
64,2024-01-03 16:00:00,20.9,,,,,,2,30,50,50
65,2024-01-03 17:00:00,25.2,,,,,,1,28,55,64
66,2024-01-03 18:00:00,27.0,,,,,,1,26,62,68
67,2024-01-03 19:00:00,24.7,,,,,,1,25,67,19
68,2024-01-03 20:00:00,24.6,,,,,,1,24,71,56
69,2024-01-03 21:00:00,26.6,,,,,,2,24,72,69
70,2024-01-03 22:00:00,25.2,,,,,,2,24,70,57
71,2024-01-03 23:00:00,23.7,,,,,,1,23,73,56
72,2024-01-04 00:00:00,21.4,,,,,,1,23,76,19
73,2024-01-04 01:00:00,20.5,,,,,,0,23,78,3
74,2024-01-04 02:00:00,19.0,,,,,,1,22,80,1
75,2024-01-04 03:00:00,14.0,,,,,,0,22,80,335
76,2024-01-04 04:00:00,13.5,,,,,,1,23,78,57
77,2024-01-04 05:00:00,12.6,,,,,,1,22,80,66
78,2024-01-04 06:00:00,18.5,,,,,,1,22,81,49
79,2024-01-04 07:00:00,22.3,,,,,,1,24,76,63
80,2024-01-04 08:00:00,20.1,,,,,,1,26,66,61
81,2024-01-04 09:00:00,21.2,,,,,,1,28,59,64
82,2024-01-04 10:00:00,18.2,,,,,,1,28,55,62
83,2024-01-04 11:00:00,19.2,,,,,,1,29,53,66
84,2024-01-04 12:00:00,21.1,,,,,,1,29,52,47
85,2024-01-04 13:00:00,22.5,,,,,,2,30,48,75
86,2024-01-04 14:00:00,20.8,,,,,,2,31,45,59
87,2024-01-04 15:00:00,23.1,,,,,,2,31,44,77
88,2024-01-04 16:00:00,21.3,,,,,,2,29,50,62
89,2024-01-04 17:00:00,30.6,,,,,,1,28,55,65
90,2024-01-04 18:00:00,29.4,,,,,,1,26,61,71
91,2024-01-04 19:00:00,26.3,,,,,,1,25,65,65
92,2024-01-04 20:00:00,26.5,,,,,,1,25,67,71
93,2024-01-04 21:00:00,25.8,,,,,,1,25,68,61
94,2024-01-04 22:00:00,28.1,,,,,,1,24,70,44
95,2024-01-04 23:00:00,26.2,,,,,,1,24,71,21
96,2024-01-05 00:00:00,23.2,,,,,,1,23,68,58
97,2024-01-05 01:00:00,25.8,,,,,,1,23,68,73
98,2024-01-05 02:00:00,22.2,,,,,,1,23,72,40
99,2024-01-05 03:00:00,20.8,,,,,,0,22,75,88
100,2024-01-05 04:00:00,19.5,,,,,,0,22,75,8
101,2024-01-05 05:00:00,21.9,,,,,,0,22,76,335
102,2024-01-05 06:00:00,23.0,,,,,,1,21,79,322
103,2024-01-05 07:00:00,24.7,,,,,,0,22,75,326
104,2024-01-05 08:00:00,21.8,,,,,,1,25,67,55
105,2024-01-05 09:00:00,22.9,,,,,,2,25,63,59
106,2024-01-05 10:00:00,24.4,,,,,,2,27,60,59
107,2024-01-05 11:00:00,20.6,,,,,,2,27,56,34
108,2024-01-05 12:00:00,20.5,,,,,,2,28,54,48
109,2024-01-05 13:00:00,23.8,,,,,,2,28,50,50
110,2024-01-05 14:00:00,20.6,,,,,,2,29,49,38
111,2024-01-05 15:00:00,22.7,,,,,,2,29,47,65
112,2024-01-05 16:00:00,20.7,,,,,,1,28,52,35
113,2024-01-05 17:00:00,23.7,,,,,,1,26,58,30
114,2024-01-05 18:00:00,32.7,,,,,,1,25,64,2
115,2024-01-05 19:00:00,29.7,,,,,,1,25,66,5
116,2024-01-05 20:00:00,26.4,,,,,,1,24,67,57
117,2024-01-05 21:00:00,24.3,,,,,,1,24,66,60
118,2024-01-05 22:00:00,28.2,,,,,,2,23,68,54
119,2024-01-05 23:00:00,31.1,,,,,,2,23,72,39
120,2024-01-06 00:00:00,31.9,,,,,,1,23,74,34
121,2024-01-06 01:00:00,32.9,,,,,,1,23,75,73
122,2024-01-06 02:00:00,31.5,,,,,,2,23,75,69
123,2024-01-06 03:00:00,28.0,,,,,,1,23,77,51
124,2024-01-06 04:00:00,28.7,,,,,,0,22,78,329
125,2024-01-06 05:00:00,32.1,,,,,,1,22,78,41
126,2024-01-06 06:00:00,35.2,,,,,,1,22,78,55
127,2024-01-06 07:00:00,37.1,,,,,,2,24,72,72
128,2024-01-06 08:00:00,39.4,,,,,,2,26,61,70
129,2024-01-06 09:00:00,42.2,,,,,,2,28,55,61
130,2024-01-06 10:00:00,36.2,,,,,,2,28,56,68
131,2024-01-06 11:00:00,33.6,,,,,,2,28,53,62
132,2024-01-06 12:00:00,33.4,,,,,,2,29,49,70
133,2024-01-06 13:00:00,33.0,,,,,,2,30,47,67
134,2024-01-06 14:00:00,31.8,,,,,,2,30,45,66
135,2024-01-06 15:00:00,31.6,,,,,,2,29,49,55
136,2024-01-06 16:00:00,30.3,,,,,,2,29,48,55
137,2024-01-06 17:00:00,29.6,,,,,,2,27,54,64
138,2024-01-06 18:00:00,26.1,,,,,,1,26,61,62
139,2024-01-06 19:00:00,21.6,,,,,,1,25,64,70
140,2024-01-06 20:00:00,18.2,,,,,,1,25,67,75
141,2024-01-06 21:00:00,17.4,,,,,,1,24,71,68
142,2024-01-06 22:00:00,19.4,,,,,,1,24,73,77
143,2024-01-06 23:00:00,21.6,,,,,,1,24,74,68
144,2024-01-07 00:00:00,22.6,,,,,,1,24,73,59
145,2024-01-07 01:00:00,25.6,,,,,,1,24,75,77
146,2024-01-07 02:00:00,25.2,,,,,,1,24,75,20
147,2024-01-07 03:00:00,19.3,,,,,,1,23,79,316
148,2024-01-07 04:00:00,17.8,,,,,,0,22,87,331
149,2024-01-07 05:00:00,17.6,,,,,,2,23,79,62
150,2024-01-07 06:00:00,15.3,,,,,,0,23,80,310
151,2024-01-07 07:00:00,16.0,,,,,,0,23,82,297
152,2024-01-07 08:00:00,19.4,,,,,,0,24,75,286
153,2024-01-07 09:00:00,20.6,,,,,,1,25,74,72
154,2024-01-07 10:00:00,18.3,,,,,,1,25,78,45
155,2024-01-07 11:00:00,19.9,,,,,,1,25,78,72
156,2024-01-07 12:00:00,17.3,,,,,,2,27,65,53
157,2024-01-07 13:00:00,11.4,,,,,,1,26,73,7
