,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2024-01-01 00:00:00,25.0,,,,,,3,26,95,77
1,2024-01-01 01:00:00,35.9,,,,,,3,26,95,18
2,2024-01-01 02:00:00,33.7,,,,,,3,25,95,319
3,2024-01-01 03:00:00,28.5,,,,,,3,25,95,309
4,2024-01-01 04:00:00,31.4,,,,,,2,25,95,289
5,2024-01-01 05:00:00,30.0,,,,,,2,25,95,237
6,2024-01-01 06:00:00,28.9,,,,,,2,25,95,142
7,2024-01-01 07:00:00,28.9,,,,,,2,25,95,74
8,2024-01-01 08:00:00,30.5,,,,,,3,27,95,82
9,2024-01-01 09:00:00,26.1,,,,,,3,29,82,73
10,2024-01-01 10:00:00,18.9,,,,,,3,30,69,92
11,2024-01-01 11:00:00,16.6,,,,,,3,31,61,84
12,2024-01-01 12:00:00,15.2,,,,,,3,32,65,52
13,2024-01-01 13:00:00,14.4,,,,,,3,31,70,32
14,2024-01-01 14:00:00,13.2,,,,,,2,31,72,2
15,2024-01-01 15:00:00,10.4,,,,,,2,29,84,360
16,2024-01-01 16:00:00,11.8,,,,,,2,29,87,356
17,2024-01-01 17:00:00,8.6,,,,,,2,29,84,17
18,2024-01-01 18:00:00,12.3,,,,,,2,29,74,69
19,2024-01-01 19:00:00,14.8,,,,,,2,28,79,70
20,2024-01-01 20:00:00,15.0,,,,,,2,27,87,72
21,2024-01-01 21:00:00,10.5,,,,,,2,26,95,77
22,2024-01-01 22:00:00,7.8,,,,,,2,25,95,59
23,2024-01-01 23:00:00,6.4,,,,,,2,25,95,41
24,2024-01-02 00:00:00,6.9,,,,,,1,25,95,31
25,2024-01-02 01:00:00,10.4,,,,,,2,25,95,321
26,2024-01-02 02:00:00,10.6,,,,,,2,24,95,294
27,2024-01-02 03:00:00,8.0,,,,,,2,24,95,271
28,2024-01-02 04:00:00,8.1,,,,,,1,23,95,255
29,2024-01-02 05:00:00,6.0,,,,,,1,23,95,101
30,2024-01-02 06:00:00,5.1,,,,,,1,23,95,234
31,2024-01-02 07:00:00,6.8,,,,,,1,24,95,221
32,2024-01-02 08:00:00,9.2,,,,,,1,26,95,333
33,2024-01-02 09:00:00,13.1,,,,,,1,29,81,27
34,2024-01-02 10:00:00,12.9,,,,,,1,30,72,61
35,2024-01-02 11:00:00,10.1,,,,,,1,30,72,49
36,2024-01-02 12:00:00,8.7,,,,,,1,31,73,36
37,2024-01-02 13:00:00,9.5,,,,,,1,31,72,42
38,2024-01-02 14:00:00,8.9,,,,,,1,30,76,44
39,2024-01-02 15:00:00,6.8,,,,,,1,30,77,27
40,2024-01-02 16:00:00,5.9,,,,,,1,30,78,34
41,2024-01-02 17:00:00,7.8,,,,,,1,29,83,48
42,2024-01-02 18:00:00,7.8,,,,,,1,28,91,46
43,2024-01-02 19:00:00,9.2,,,,,,1,28,81,62
44,2024-01-02 20:00:00,13.9,,,,,,1,27,80,65
45,2024-01-02 21:00:00,14.3,,,,,,1,27,87,60
46,2024-01-02 22:00:00,10.8,,,,,,1,27,95,57
47,2024-01-02 23:00:00,10.3,,,,,,1,27,95,70
48,2024-01-03 00:00:00,12.2,,,,,,1,27,95,66
49,2024-01-03 01:00:00,13.2,,,,,,1,27,95,47
50,2024-01-03 02:00:00,11.8,,,,,,1,27,95,47
51,2024-01-03 03:00:00,10.0,,,,,,0,26,95,83
52,2024-01-03 04:00:00,10.8,,,,,,1,26,95,56
53,2024-01-03 05:00:00,9.5,,,,,,1,26,95,99
54,2024-01-03 06:00:00,9.9,,,,,,0,25,95,153
55,2024-01-03 07:00:00,10.5,,,,,,0,26,95,124
56,2024-01-03 08:00:00,14.1,,,,,,1,27,91,76
57,2024-01-03 09:00:00,19.2,,,,,,1,29,75,86
58,2024-01-03 10:00:00,16.8,,,,,,1,31,65,80
59,2024-01-03 11:00:00,14.2,,,,,,1,30,70,45
60,2024-01-03 12:00:00,12.3,,,,,,1,31,70,34
61,2024-01-03 13:00:00,12.5,,,,,,1,31,69,38
62,2024-01-03 14:00:00,12.4,,,,,,1,31,64,43
63,2024-01-03 15:00:00,12.0,,,,,,1,32,60,45
64,2024-01-03 16:00:00,13.2,,,,,,2,32,48,81
65,2024-01-03 17:00:00,12.9,,,,,,2,31,54,70
66,2024-01-03 18:00:00,13.3,,,,,,1,29,62,66
67,2024-01-03 19:00:00,15.5,,,,,,1,28,72,67
68,2024-01-03 20:00:00,16.7,,,,,,1,27,79,65
69,2024-01-03 21:00:00,16.1,,,,,,1,27,86,71
70,2024-01-03 22:00:00,14.2,,,,,,1,26,91,84
71,2024-01-03 23:00:00,13.7,,,,,,1,26,95,86
72,2024-01-04 00:00:00,15.2,,,,,,1,26,95,82
73,2024-01-04 01:00:00,17.8,,,,,,0,25,95,136
74,2024-01-04 02:00:00,17.1,,,,,,0,25,95,279
75,2024-01-04 03:00:00,15.7,,,,,,0,25,95,140
76,2024-01-04 04:00:00,15.8,,,,,,1,25,95,202
77,2024-01-04 05:00:00,13.4,,,,,,0,25,95,261
78,2024-01-04 06:00:00,12.3,,,,,,0,25,95,266
79,2024-01-04 07:00:00,13.7,,,,,,0,26,95,152
80,2024-01-04 08:00:00,17.2,,,,,,0,28,91,56
81,2024-01-04 09:00:00,22.2,,,,,,1,29,77,81
82,2024-01-04 10:00:00,21.4,,,,,,1,31,66,89
83,2024-01-04 11:00:00,18.0,,,,,,1,31,68,42
84,2024-01-04 12:00:00,14.5,,,,,,1,31,67,45
85,2024-01-04 13:00:00,13.0,,,,,,1,32,67,41
86,2024-01-04 14:00:00,13.0,,,,,,1,31,66,44
87,2024-01-04 15:00:00,12.7,,,,,,2,31,68,39
88,2024-01-04 16:00:00,12.1,,,,,,1,30,67,42
89,2024-01-04 17:00:00,12.5,,,,,,1,30,69,44
90,2024-01-04 18:00:00,14.1,,,,,,1,29,75,49
91,2024-01-04 19:00:00,16.6,,,,,,1,29,76,64
92,2024-01-04 20:00:00,19.6,,,,,,1,28,78,69
93,2024-01-04 21:00:00,19.7,,,,,,1,27,83,63
94,2024-01-04 22:00:00,18.2,,,,,,1,27,87,66
95,2024-01-04 23:00:00,15.3,,,,,,1,27,91,57
96,2024-01-05 00:00:00,14.2,,,,,,1,27,94,51
97,2024-01-05 01:00:00,13.5,,,,,,1,27,94,85
98,2024-01-05 02:00:00,12.6,,,,,,1,26,95,92
99,2024-01-05 03:00:00,10.4,,,,,,0,25,95,104
100,2024-01-05 04:00:00,9.6,,,,,,0,25,95,108
101,2024-01-05 05:00:00,11.5,,,,,,1,25,95,76
102,2024-01-05 06:00:00,11.1,,,,,,1,26,95,92
103,2024-01-05 07:00:00,13.8,,,,,,1,26,95,96
104,2024-01-05 08:00:00,12.8,,,,,,1,27,93,94
105,2024-01-05 09:00:00,20.3,,,,,,1,28,81,78
106,2024-01-05 10:00:00,22.1,,,,,,1,29,73,64
107,2024-01-05 11:00:00,24.4,,,,,,1,30,67,72
108,2024-01-05 12:00:00,21.9,,,,,,1,30,66,60
109,2024-01-05 13:00:00,19.3,,,,,,1,30,73,46
110,2024-01-05 14:00:00,17.7,,,,,,1,30,75,56
111,2024-01-05 15:00:00,16.5,,,,,,2,31,53,79
112,2024-01-05 16:00:00,18.0,,,,,,1,30,59,91
113,2024-01-05 17:00:00,,,,,,,1,30,61,81
114,2024-01-05 18:00:00,,,,,,,1,28,70,85
115,2024-01-05 19:00:00,,,,,,,1,27,79,83
116,2024-01-05 20:00:00,,,,,,,1,27,86,57
117,2024-01-05 21:00:00,,,,,,,1,27,90,63
118,2024-01-05 22:00:00,,,,,,,1,27,91,87
119,2024-01-05 23:00:00,,,,,,,1,26,92,53
120,2024-01-06 00:00:00,,,,,,,1,26,92,61
121,2024-01-06 01:00:00,,,,,,,1,26,95,71
122,2024-01-06 02:00:00,,,,,,,0,25,95,55
123,2024-01-06 03:00:00,,,,,,,0,26,95,37
124,2024-01-06 04:00:00,,,,,,,1,26,95,69
125,2024-01-06 05:00:00,,,,,,,0,25,95,96
126,2024-01-06 06:00:00,,,,,,,0,25,95,100
127,2024-01-06 07:00:00,,,,,,,1,26,95,67
128,2024-01-06 08:00:00,,,,,,,1,28,86,64
129,2024-01-06 09:00:00,,,,,,,0,0,0,0
130,2024-01-06 10:00:00,20.9,,,,,,2,30,71,88
131,2024-01-06 11:00:00,24.5,,,,,,2,31,57,87
132,2024-01-06 12:00:00,24.6,,,,,,1,32,54,83
133,2024-01-06 13:00:00,24.2,,,,,,1,32,57,74
134,2024-01-06 14:00:00,25.5,,,,,,2,32,50,91
135,2024-01-06 15:00:00,25.4,,,,,,2,32,51,93
136,2024-01-06 16:00:00,23.5,,,,,,2,30,59,88
137,2024-01-06 17:00:00,21.8,,,,,,1,29,68,67
138,2024-01-06 18:00:00,20.8,,,,,,1,28,82,57
139,2024-01-06 19:00:00,20.4,,,,,,1,28,82,58
140,2024-01-06 20:00:00,21.9,,,,,,1,28,81,66
141,2024-01-06 21:00:00,19.4,,,,,,1,27,85,65
142,2024-01-06 22:00:00,18.9,,,,,,1,27,89,54
143,2024-01-06 23:00:00,18.2,,,,,,0,27,92,58
144,2024-01-07 00:00:00,20.3,,,,,,1,26,93,54
145,2024-01-07 01:00:00,21.2,,,,,,0,26,95,90
146,2024-01-07 02:00:00,19.8,,,,,,0,25,95,298
147,2024-01-07 03:00:00,16.7,,,,,,0,25,95,307
148,2024-01-07 04:00:00,16.4,,,,,,0,25,95,322
149,2024-01-07 05:00:00,17.2,,,,,,0,25,95,302
150,2024-01-07 06:00:00,16.1,,,,,,0,25,95,309
151,2024-01-07 07:00:00,16.2,,,,,,0,25,95,319
152,2024-01-07 08:00:00,17.6,,,,,,0,26,95,70
153,2024-01-07 09:00:00,20.5,,,,,,1,28,91,50
154,2024-01-07 10:00:00,22.1,,,,,,1,30,76,38
155,2024-01-07 11:00:00,26.1,,,,,,1,30,75,38
156,2024-01-07 12:00:00,21.9,,,,,,1,30,65,46
157,2024-01-07 13:00:00,17.9,,,,,,1,31,64,46
158,2024-01-07 14:00:00,17.1,,,,,,1,31,61,47
159,2024-01-07 15:00:00,18.7,,,,,,1,30,62,45
160,2024-01-07 16:00:00,19.5,,,,,,1,30,66,46
161,2024-01-07 17:00:00,20.9,,,,,,1,29,71,50
162,2024-01-07 18:00:00,22.9,,,,,,1,28,74,59
163,2024-01-07 19:00:00,26.8,,,,,,1,28,75,80
164,2024-01-07 20:00:00,33.3,,,,,,1,27,77,92
165,2024-01-07 21:00:00,32.3,,,,,,1,27,81,86
