iter	Passed	Remaining
0	149	149624
1	159	79486
2	169	56233
3	172	42993
4	184	36654
5	188	31290
6	199	28298
7	210	26054
8	216	23811
9	220	21782
10	224	20155
11	229	18888
12	235	17917
13	241	17037
14	249	16369
15	253	15582
16	266	15423
17	271	14823
18	276	14272
19	283	13872
20	291	13568
21	298	13288
22	307	13080
23	315	12843
24	329	12844
25	336	12611
26	345	12448
27	362	12575
28	368	12346
29	374	12093
30	384	12027
31	391	11831
32	409	12010
33	423	12029
34	434	11974
35	444	11914
36	446	11630
37	453	11479
38	461	11362
39	466	11203
40	478	11187
41	496	11325
42	498	11102
43	504	10968
44	511	10861
45	517	10736
46	526	10670
47	533	10589
48	537	10422
49	549	10441
50	556	10349
51	567	10341
52	580	10379
53	586	10274
54	601	10342
55	614	10352
56	620	10269
57	634	10304
58	644	10278
59	652	10216
60	659	10151
61	670	10142
62	680	10125
63	687	10055
64	694	9994
65	705	9978
66	709	9886
67	718	9841
68	729	9841
69	742	9860
70	752	9851
71	764	9857
72	770	9789
73	780	9767
74	792	9773
75	806	9802
76	812	9743
77	819	9690
78	826	9634
79	833	9588
80	837	9504
81	843	9438
82	851	9408
83	857	9353
84	863	9290
85	872	9278
86	882	9261
87	892	9253
88	899	9203
89	906	9165
90	910	9098
91	918	9066
92	925	9023
93	929	8961
94	934	8901
95	943	8883
96	954	8887
97	956	8806
98	966	8791
99	977	8793
100	985	8772
101	992	8737
102	999	8707
103	1003	8649
104	1009	8606
105	1021	8617
106	1030	8597
107	1040	8595
108	1053	8611
109	1061	8587
110	1066	8542
111	1071	8494
112	1079	8470
113	1080	8399
114	1082	8331
115	1092	8324
116	1095	8268
117	1099	8215
118	1104	8174
119	1108	8127
120	1113	8090
121	1118	8052
122	1124	8015
123	1128	7968
124	1138	7970
125	1140	7910
126	1147	7886
127	1156	7878
128	1161	7842
129	1176	7872
130	1185	7864
131	1192	7839
132	1201	7829
133	1210	7822
134	1220	7820
135	1232	7829
136	1238	7802
137	1242	7764
138	1246	7724
139	1252	7693
140	1258	7665
141	1263	7636
142	1265	7586
143	1270	7551
144	1278	7539
145	1286	7527
146	1293	7505
147	1303	7502
148	1307	7467
149	1309	7420
150	1315	7398
151	1320	7366
152	1326	7342
153	1337	7348
154	1346	7338
155	1351	7311
156	1355	7279
157	1360	7251
158	1365	7221
159	1372	7203
160	1380	7194
161	1384	7164
162	1391	7145
163	1402	7151
164	1406	7118
165	1408	7076
166	1418	7074
167	1424	7055
168	1433	7047
169	1439	7026
170	1445	7006
171	1456	7009
172	1460	6982
173	1467	6965
174	1477	6964
175	1483	6943
176	1490	6928
177	1495	6904
178	1504	6898
179	1509	6877
180	1512	6845
181	1522	6842
182	1528	6824
183	1537	6820
184	1544	6803
185	1548	6774
186	1551	6747
187	1560	6742
188	1572	6747
189	1583	6752
190	1591	6742
191	1597	6724
192	1608	6726
193	1618	6725
194	1623	6702
195	1627	6674
196	1636	6670
197	1638	6638
198	1645	6622
199	1652	6611
200	1660	6602
201	1666	6583
202	1670	6559
203	1677	6545
204	1683	6529
205	1688	6509
206	1695	6494
207	1699	6471
208	1707	6460
209	1714	6450
210	1723	6445
211	1728	6424
212	1730	6393
213	1737	6380
214	1739	6349
215	1743	6329
216	1751	6319
217	1755	6298
218	1761	6280
219	1765	6260
220	1778	6268
221	1786	6261
222	1796	6258
223	1803	6249
224	1813	6245
225	1818	6227
226	1825	6215
227	1829	6195
228	1837	6187
229	1848	6189
230	1853	6171
231	1858	6150
232	1866	6144
233	1873	6132
234	1878	6113
235	1879	6085
236	1886	6073
237	1893	6062
238	1905	6068
239	1912	6055
240	1920	6049
241	1927	6037
242	1934	6026
243	1936	5999
244	1942	5986
245	1947	5247	246	1954	5957
247	1961	5948
248	1965	5250	249	1972	5251	250	1978	5903
251	1985	5892
252	1993	5886
253	2002	5880
254	2006	5863
255	2011	5846
256	2022	5847
257	2029	5835
258	2039	5834
259	2045	5820
260	2052	5811
261	2058	5798
262	2071	5803
263	2082	5804
264	2094	5810
265	2105	5810
266	2109	5790
267	2114	5776
268	2123	5769
269	2127	5751
270	2137	5751
271	2147	5748
272	2151	5728
273	2157	5717
274	2167	5714
275	2173	5701
276	2177	5682
277	2184	5674
278	2194	5671
279	2202	5663
280	2205	5642
281	2213	5635
282	2219	5622
283	2227	5615
284	2231	5598
285	2235	5581
286	2244	5576
287	2252	5568
288	2258	5556
289	2266	5549
290	2268	5527
291	2278	5523
292	2283	5510
293	2290	5499
294	2299	5494
295	2307	5488
296	2313	5476
297	2321	5468
298	2325	5452
299	2333	5445
300	2341	5438
301	2350	5433
302	2357	5424
303	2361	5407
304	2369	5400
305	2378	5393
306	2390	5395
307	2402	5397
308	2411	5393
309	2417	5381
310	2419	5360
311	2422	5342
312	2428	5329
313	2437	5324
314	2447	5321
315	2454	5312
316	2461	5304
317	2469	5295
318	2476	5286
319	2486	5283
320	2487	5262
321	2492	5248
322	2494	5228
323	2499	5215
324	2504	5200
325	2511	5192
326	2519	5185
327	2525	5175
328	2532	5165
329	2538	5154
330	2548	5150
331	2555	5141
332	2562	5132
333	2573	5131
334	2586	5133
335	2592	5124
336	2600	5116
337	2605	5102
338	2611	5092
339	2618	5082
340	2625	5073
341	2628	5057
342	2643	5062
343	2652	5059
344	2656	5043
345	2665	5037
346	2671	5028
347	2680	5022
348	2683	5006
349	2690	4997
350	2696	4985
351	2703	4977
352	2709	4966
353	2716	4956
354	2720	4943
355	2726	4932
356	2737	4930
357	2739	4912
358	2749	4908
359	2759	4906
360	2765	4895
361	2770	4882
362	2776	4871
363	2781	4860
364	2786	4847
365	2793	4839
366	2806	4840
367	2811	4828
368	2813	4810
369	2820	4802
370	2824	4789
371	2832	4782
372	2840	4775
373	2850	4771
374	2857	4761
375	2868	4761
376	2878	4756
377	2884	4746
378	2889	4734
379	2897	4727
380	2907	4723
381	2914	4715
382	2918	4701
383	2930	4701
384	2939	4695
385	2947	4689
386	2958	4685
387	2972	4688
388	2977	4676
389	2986	4670
390	2993	4662
391	3003	4658
392	3012	4653
393	3020	4645
394	3026	4636
395	3033	4626
396	3037	4613
397	3045	4605
398	3055	4602
399	3059	4589
400	3063	4575
401	3071	4568
402	3082	4566
403	3099	4573
404	3110	4570
405	3122	4568
406	3129	4560
407	3137	4553
408	3148	4549
409	3165	4555
410	3170	4543
411	3173	4529
412	3178	4517
413	3188	4512
414	3203	4516
415	3208	4503
416	3217	4498
417	3230	4498
418	3246	4502
419	3251	4490
420	3264	4490
421	3266	4474
422	3275	4467
423	3282	4458
424	3287	4447
425	3293	4437
426	3300	4428
427	3310	4424
428	3316	4414
429	3326	4409
430	3329	4395
431	3340	4391
432	3347	4383
433	3356	4376
434	3360	4364
435	3368	4357
436	3372	4344
437	3379	4336
438	3390	4332
439	3392	4317
440	3400	4310
441	3407	4302
442	3412	4290
443	3419	4282
444	3427	4274
445	3434	4266
446	3440	4256
447	3451	4253
448	3453	4237
449	3464	4233
450	3472	4226
451	3476	4214
452	3486	4209
453	3500	4209
454	3507	4201
455	3516	4195
456	3525	4188
457	3530	4178
458	3538	4171
459	3546	4163
460	3550	4151
461	3554	4139
462	3558	4126
463	3562	4115
464	3571	4109
465	3575	4097
466	3583	4089
467	3587	4078
468	3595	4070
469	3603	4063
470	3617	4063
471	3621	4051
472	3632	4047
473	3645	4045
474	3654	4039
475	3661	4030
476	3665	4018
477	3667	4005
478	3677	3999
479	3690	3998
480	3700	3992
481	3708	3985
482	3721	3983
483	3728	3975
484	3736	3967
485	3739	3954
486	3745	3945
487	3749	3933
488	3751	3920
489	3761	3914
490	3769	3907
491	3774	3897
492	3778	3885
493	3790	3883
494	3797	3873
495	3805	3867
496	3810	3856
497	3816	3846
498	3822	3838
499	3834	3834
500	3841	3825
501	3850	3819
502	3858	3812
503	3868	3807
504	3876	3799
505	3880	3788
506	3892	3785
507	3903	3780
508	3906	3768
509	3911	3758
510	3918	3749
511	3926	3742
512	3933	3734
513	3937	3723
514	3944	3714
515	3952	3707
516	3961	3701
517	3966	3691
518	3970	3680
519	3976	3670
520	3982	3661
521	3990	3653
522	4005	3653
523	4017	3649
524	4024	3640
525	4034	3635
526	4037	3624
527	4039	3611
528	4044	3600
529	4046	3588
530	4055	3581
531	4061	3573
532	4071	3567
533	4082	3562
534	4085	3551
535	4092	3543
536	4094	3530
537	4099	3520
538	4108	3513
539	4114	3505
540	4123	3498
541	4131	3491
542	4139	3484
543	4147	3476
544	4158	3471
545	4162	3461
546	4168	3452
547	4175	3444
548	4180	3434
549	4182	3422
550	4193	3417
551	4197	3406
552	4200	3395
553	4209	3389
554	4214	3379
555	4221	3370
556	4229	3363
557	4236	3355
558	4241	3346
559	4248	3338
560	4260	3333
561	4266	3324
562	4270	3315
563	4279	3308
564	4287	3300
565	4295	3293
566	4301	3284
567	4306	3275
568	4310	3265
569	4312	3253
570	4319	3245
571	4324	3236
572	4333	3229
573	4338	3219
574	4345	3211
575	4352	3203
576	4357	3194
577	4363	3186
578	4367	3175
579	4371	3165
580	4375	3155
581	4384	3149
582	4397	3145
583	4403	3136
584	4409	3127
585	4419	3122
586	4425	3113
587	4429	3103
588	4437	3096
589	4441	3086
590	4448	3078
591	4460	3073
592	4473	3070
593	4484	3065
594	4490	3056
595	4496	3047
596	4504	3040
597	4510	3031
598	4516	3023
599	4521	3014
600	4526	3005
601	4532	2996
602	4541	2989
603	4550	2983
604	4552	2971
605	4556	2962
606	4566	2956
607	4574	2949
608	4581	2941
609	4588	2933
610	4595	2925
611	4602	2917
612	4612	2911
613	4619	2903
614	4623	2894
615	4629	2885
616	4631	2874
617	4636	2865
618	4640	2856
619	4649	2849
620	4656	2841
621	4662	2833
622	4670	2826
623	4677	2818
624	4684	2810
625	4691	2802
626	4696	2793
627	4703	2786
628	4710	2778
629	4716	2770
630	4727	2764
631	4739	2759
632	4750	2754
633	4755	2745
634	4763	2738
635	4772	2731
636	4776	2721
637	4784	2714
638	4789	2706
639	4799	2699
640	4809	2693
641	4818	2686
642	4823	2677
643	4832	2671
644	4840	2663
645	4844	2654
646	4848	2645
647	4854	2637
648	4861	2629
649	4868	2621
650	4877	2614
651	4881	2605
652	4883	2595
653	4893	2589
654	4901	2581
655	4903	2571
656	4913	2565
657	4918	2556
658	4927	2549
659	4936	2543
660	4943	2535
661	4951	2528
662	4957	2519
663	4965	2512
664	4971	2504
665	4977	2496
666	4991	2491
667	4998	2484
668	5002	2475
669	5013	2469
670	5019	2460
671	5025	2452
672	5032	2445
673	5042	2438
674	5048	2430
675	5058	2424
676	5061	2415
677	5066	2406
678	5074	2398
679	5081	2391
680	5085	2382
681	5093	2374
682	5107	2370
683	5114	2362
684	5125	2356
685	5136	2351
686	5140	2341
687	5147	2334
688	5160	2329
689	5167	2321
690	5175	2314
691	5184	2307
692	5193	2300
693	5198	2291
694	5202	2283
695	5204	2273
696	5211	2265
697	5221	2259
698	5224	2249
699	5232	2242
700	5238	2234
701	5240	2224
702	5249	2217
703	5255	2209
704	5263	2202
705	5270	2194
706	5277	2187
707	5281	2178
708	5287	2170
709	5293	2162
710	5298	2153
711	5301	2144
712	5307	2136
713	5311	2127
714	5321	2121
715	5329	2113
716	5336	2106
717	5344	2098
718	5350	2090
719	5357	2083
720	5364	2075
721	5370	2067
722	5373	2058
723	5381	2051
724	5392	2045
725	5397	2036
726	5402	2028
727	5409	2021
728	5411	2011
729	5424	2006
730	5431	1998
731	5442	1992
732	5450	1985
733	5456	1977
734	5463	1969
735	5468	1961
736	5473	1953
737	5484	1947
738	5490	1939
739	5497	1931
740	5502	1923
741	5505	1914
742	5515	1907
743	5519	1899
744	5525	1891
745	5531	1883
746	5536	1874
747	5542	1867
748	5550	1860
749	5557	1852
750	5563	1844
751	5569	1836
752	5572	1828
753	5577	1819
754	5588	1813
755	5594	1805
756	5605	1799
757	5613	1792
758	5624	1785
759	5631	1778
760	5639	1771
761	5646	1763
762	5654	1756
763	5662	1749
764	5666	1740
765	5675	1733
766	5682	1726
767	5689	1718
768	5693	1710
769	5695	1701
770	5707	1695
771	5715	1687
772	5717	1678
773	5724	1671
774	5728	1663
775	5730	1654
776	5738	1647
777	5746	1639
778	5752	1632
779	5758	1624
780	5763	1616
781	5773	1609
782	5782	1602
783	5790	1595
784	5795	1587
785	5804	1580
786	5812	1573
787	5818	1565
788	5823	1557
789	5833	1550
790	5840	1543
791	5847	1535
792	5860	1529
793	5871	1523
794	5881	1516
795	5890	1509
796	5901	1503
797	5906	1495
798	5915	1488
799	5919	1479
800	5926	1472
801	5936	1465
802	5944	1458
803	5950	1450
804	5959	1443
805	5965	1435
806	5969	1427
807	5976	1420
808	5981	1412
809	5984	1403
810	5992	1396
811	6002	1389
812	6006	1381
813	6013	1374
814	6018	1366
815	6019	1357
816	6031	1351
817	6037	1343
818	6041	1335
819	6048	1327
820	6054	1319
821	6062	1312
822	6064	1304
823	6080	1298
824	6095	1292
825	6100	1285
826	6114	1279
827	6126	1272
828	6138	1266
829	6145	1258
830	6150	1250
831	6153	1242
832	6156	1234
833	6159	1225
834	6161	1217
835	6164	1209
836	6168	1201
837	6170	1192
838	6173	1184
839	6176	1176
840	6178	1168
841	6181	1159
842	6184	1151
843	6186	1143
844	6188	1135
845	6190	1126
846	6192	1118
847	6195	1110
848	6197	1102
849	6199	1094
850	6202	1085
851	6204	1077
852	6207	1069
853	6209	1061
854	6211	1053
855	6214	1045
856	6217	1037
857	6219	1029
858	6222	1021
859	6225	1013
860	6227	1005
861	6230	997
862	6232	989
863	6235	981
864	6237	973
865	6240	965
866	6242	95868	6246	941
869	6250	933
870	6256	926
871	6263	919
872	6268	911
873	6274	904
874	6278876	6875	6282877	6382	886
878	6877	6295879	6878	6300880	6879	6306881	6404	8568882	6881	631885	64882	6328884	6883	6340	831
884	6351	825
885	6357	818
886	6369	811
887	6379	804
888	6381	796
889	6383	789
890	6386892	6891	6391893	6892	6398894	6893	6402895	6894	641898	65895	6419	745
896	6429898	6522	732
899	6528	725
900	6536	718
901	6900	6449902	6901	6462903	6902	6467904	6903	6476905	6904	6487906	6905	6494907	6906	6499908	6907	6507	659
908	6511910	6909	6520911	6624	639
912	6631	631
913	6639	624
914	6646	617
915	6653	610
916	6657	602
917	6916	6566918	6671	587
919	6684	581
920	6919	6596921	6920	6610922	6921	6616	559
922	6617924	6923	6627925	6924	6639926	6925	663929	67926	664930	67927	6658	516
928	666932	6765	485
933	6774	478
934	6781	471
935	6789	464
936	6795	456
937	6799	449
938	68935	670939	68936	671940	68937	671941	68938	672942	68939	6735	429
940	6737	422
941	6742	415
942	6752	408
943	6762	401
944	6765	393
945	6776	386
946	6782	379
947	6788	372
948	6790	364
949	6797	357
950	679954	68951	6805	343
952	6816	336
953	6822	328
954	6831	321
955	6839	314
956	6849	307
957	6854	300
958	6860	293
959	6864	286
960	6868	278
961	6873	271
962	6878	264
963	6885	257
964	6895	250
965	6898	242
966	6911	235
967	6924	228
968	6928	221
969	6936	214
970	6940	207
971	6944	200
972	6953	192
973	6964	185
974	7005	179
975	7008	172
976	7010	165
977	7012	157
978	7014	150
979	7016	143
980	7017	135
981	7019	128
982	7021	121
983	70987	711984	7988	7123985	989	7125986	990	7129987	991	7132988	992	7135989	993	7139990	994	7142	35
995	7144992	7050	49
993	7055	42
994	7058	35
995	7059	28
996	7063	21
997	7065	14
998	7067	7
999	7068	0
	6
999	6595	0
